GraveID	Element
G02622	flat grave
G02622	pit grave
G02623	flat grave
G02623	pit grave
G02624	flat grave
G02624	pit grave
G02625	flat grave
G02625	pit grave
G02626	flat grave
G02626	pit grave
G02627	flat grave
G02627	pit grave
G02628	flat grave
G02628	pit grave
G02629	flat grave
G02629	pit grave
G09276	bog or wetlands deposition
G09277	bog or wetlands deposition
G12611	barrow
G12605	barrow
G12608	barrow
G12604	barrow
G12606	barrow
G12607	barrow
G12609	barrow
G12610	barrow
G05531	flat grave
G05531	pit grave
G03897	pit grave: refuse pit
G07437	flat grave
G07438	flat grave
G07439	flat grave
G07440	flat grave
G07441	flat grave
G07442	flat grave
G07443	flat grave
G09175	flat grave
G09175	midden: shell
G05725	barrow: dug in grave
G05725	niche grave
G05725	kurgan: grave
G05725	kurgan: grave
G05726	barrow: dug in grave
G05726	niche grave
G05726	kurgan: grave
G05726	kurgan: grave
G03127	flat grave
G03127	construction: linear: stone
G03127	collective grave
G03128	flat grave
G03128	pit grave
G03129	flat grave
G03129	pit grave
G07862	bone concentration
G07865	house: below
G07866	house: below
G07868	house: below
G07869	house: below
G07870	house: below
G07871	house: below
G07872	house: below
G07873	house: below
G07874	house: below
G07876	bone concentration
G07877	bone concentration
G07878	bone concentration
G07879	bone concentration
G07882	bone concentration
G07884	bone concentration
G07856	flat grave
G03130	flat grave
G03130	pit grave
G03131	flat grave
G03131	pit grave
G07860	house: below
G07863	house: below
G07864	house: below
G07867	house: below
G07875	bone concentration
G07883	disturbed
G06022	flat grave
G06022	pit grave
G06023	flat grave
G06023	pit grave
G06024	flat grave
G06024	pit grave
G06025	flat grave
G06025	pit grave
G06026	flat grave
G06026	pit grave
G06027	flat grave
G06027	pit grave
G06028	flat grave
G06028	pit grave
G06029	flat grave
G06029	pit grave
G06030	flat grave
G06030	pit grave
G06031	flat grave
G06031	pit grave
G06031	construction: cover: stone
G13029	flat grave
G13030	flat grave
G13031	flat grave
G06032	flat grave
G06032	pit grave
G06032	construction: cover: stone
G07659	flat grave
G07660	flat grave
G07661	flat grave
G07662	flat grave
G07663	flat grave
G07664	flat grave
G07665	flat grave
G07666	flat grave
G12921	disturbed: animals
G09147	hearth
G09147	pit grave
